pair	target	target_score	baseline1	baseline1_score	baseline2	baseline2_score	baseline3	baseline3_score	baseline4	baseline4_score	baseline4_b1	baseline4_b1_score	baseline5	baseline5_score	baseline5_b1	baseline5_b1_score
ent1: Eastern Region (Ghana) ent2: Krobo Odumase	krobo odumase is a town in the eastern region of ghana .	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0	krobo odumase is a town in the eastern region of ghana.	0
ent1: Bedford Borough Council ent2: Newnham, Bedford	newnham elect two councillor to bedford borough council .	0	newnham is a local government area of bedford borough council.	0	newnham is a local government district in bedford borough council, bedfordshire, england.	0	newnham is a local government district within bedford borough council.	0	newnham is within bedford borough council.	0	newnham is an electoral ward of bedford borough council.	0	newnham is a ward of bedford borough council.	0	bedford borough council operates the bedford borough council office in newnham.	0
ent1: Davis County, Utah ent2: North Salt Lake, Utah	north salt lake is a city in davis county , utah , united state .	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0	north salt lake is a city in davis county, utah, united state.	0
ent1: Nottingham ent2: Nottingham Playhouse	nottingham playhouse is a theatre in nottingham , nottinghamshire , england .	0	the nottingham playhouse is a theatre in nottingham, england.	0	nottingham playhouse is a theatre in nottingham, england.	0	the nottingham playhouse is a theatre in nottingham, england.	0	the nottingham playhouse is a theatre and theatre in nottingham, england.	0	the nottingham playhouse is a theatre in nottingham, england.	0	the nottingham playhouse is a theatre in nottingham, england.	0	the nottingham playhouse is a theatre in nottingham, england.	0
ent1: Finland ent2: Hankasalmi	hankasalmi is a municipality of finland .	0	hankasalmi is a municipality of finland.	0	hankasalmi is a former municipality of finland.	0	hankasalmi is a municipality of finland.	0	hankasalmi is a municipality of finland.	0	hankasalmi ( ) is a municipality of finland.	0	hankasalmi ( ; ) is a municipality of finland.	0	hankasalmi is a municipality of finland.	0
ent1: Lake ent2: Heron	the lake also contains habitat of seagull and heron .	0	the lake is home to a heron pond.	0	the lake is home to a heron pond.	0	the lake is a breeding ground for heron.	0	the lake is a breeding habitat for egret, tern, hornbill, heron and gull.	0	the lake is home to a large heron.	0	the lake is home to a heron.	0	the lake is home to a large heron population.	0
ent1: Eddie Rabbitt ent2: Loveline (Eddie Rabbitt album)	loveline is the fifth studio album by country artist eddie rabbitt .	0	loveline is the second studio album by american singer eddie rabbitt.	0	loveline is the third studio album by american singer-songwriter eddie rabbitt.	0	loveline is the second studio album by country artist eddie rabbitt.	0	loveline is the second studio album by country artist eddie rabbitt.	0	loveline is the third studio album by country artist eddie rabbitt.	0	loveline is the fifth studio album by country artist eddie rabbitt.	0	loveline is the fourth studio album by country artist eddie rabbitt.	0
ent1: Sacrum ent2: Rump (animal)	anatomically , the rump corresponds to the sacrum .	0	the sacrum is the largest part of the rump.	0	the sacrum is the largest part of the rump.	0	the sacrum is the largest part of the rump.	0	the sacrum is the muscle of the rump.	0	the sacrum is the largest part of the rump.	0	the sacrum is the largest part of the rump.	0	the sacrum is the largest part of the rump.	0
ent1: Menz Gera Midir ent2: Amhara Region	menz gera midir is one of the woredas in the amhara region of ethiopia .	0	menz gera midir is a town in the amhara region of ethiopia.	0	menz gera midir is a town in the amhara region of ethiopia.	0	menz gera midir is a town in the amhara region of ethiopia.	0	menz gera midir ( ) is a woreda in the amhara region of ethiopia.	0	menz gera midir ( ) is one of the woredas in the amhara region of ethiopia.	0	menz gera midir is a town in the amhara region of ethiopia.	0	menz gera midir ( ) is a woreda in the amhara region of ethiopia.	0
ent1: Texas ent2: Wixon Valley, Texas	wixon valley is a city in brazos county , texas , united state .	0	wixon valley is a city in san bernardino county, texas, united state.	0	wixon valley is a city in bristol county, texas, united state.	0	wixon valley is a city in bryan county, texas, united state.	0	wixon valley is a city in brazos county, texas, united state.	0	wixon valley is a city in brazos county, texas, united state.	0	wixon valley is a city in brazos county, texas, united state.	0	wixon valley is a city in brazos county, texas, united state.	0
ent1: Konoe family ent2: Tadateru Konoe	tadateru konoe was the 50th head of the konoe family .	0	tadateru konoe is a genus of genus in the konoe family.	0	tadateru konoe was the son of the konoe family.	0	tadateru konoe was the son of the  konoe family ''.	0	tadateru konoe was a member of the konoe family.	0	tadateru konoe is a member of the konoe family.	0	tadateru konoe is a member of the konoe family.	0	tadateru konoe is the youngest member of the konoe family.	0
ent1: National Trust for Historic Preservation ent2: American Club (Kohler, Wisconsin)	the american club is a member of historic hotel of america , the official program of the national trust for historic preservation .	0	the american club is a member of the national trust for historic preservation.	0	the american club is a member of the national trust for historic preservation.	0	the american club is a member of historic hotel of america, the official program of the national trust for historic preservation.	0	the american club is a member of historic hotel of america, the official program of the national trust for historic preservation.	0	the american club is a member of historic hotel of america, the official program of the national trust for historic preservation.	0	the american club is a member of historic hotel of america, the official program of the national trust for historic preservation.	0	american club is a member of historic hotel of america, the official program of the national trust for historic preservation.	0
ent1: Staten Island ent2: Roman Catholic Archdiocese of New York	the roman catholic archdiocese of new york operates staten island catholic school .	0	staten island is the seat of the roman catholic archdiocese of new york.	0	staten island is a parish of the roman catholic archdiocese of new york.	0	the roman catholic archdiocese of new york operates catholic school in staten island.	0	staten island is a parish in the roman catholic archdiocese of new york.	0	staten island is the seat of the roman catholic archdiocese of new york.	0	staten island is a parish of the roman catholic archdiocese of new york.	0	staten island is the seat of the roman catholic archdiocese of new york.	0
ent1: Lancashire ent2: Green Brook, Lancashire	green brook is a minor river in lancashire , england .	0	green brook is a civil parish in ribble valley, lancashire, england.	0	green brook is a civil parish in lancashire, england.	0	green brook is a village in lancashire, england.	0	green brook is a village in borough of burnley, lancashire, england.	0	green brook is a village in lancashire, england.	0	green brook is a village in burnley, lancashire, england.	0	green brook is a village and civil parish in lancashire, england.	0
ent1: German language ent2: Phonology	the phonology of standard german is the standard pronunciation or accent of the german language .	0	phonology is the study of the phonology of the german language.	0	phonology is the study of the phonology of the german language.	0	the german language has a phonology.	0	the phonology is the phonology of the german language.	0	the phonology is the phonology of the german language.	0	the german language has a phonology.	0	the german language has a pronounced phonology.	0
ent1: Columbia, Alabama ent2: Houston County, Alabama	columbia is a town in houston county , alabama , united state .	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0	columbia is a city in houston county, alabama, united state.	0
ent1: Bay City, Michigan ent2: Bay County, Michigan	bay city is a city in bay county in the u.s. state of michigan .	0	bay city is a city in bay county, michigan, united state.	0	bay city is a city in bay county, michigan, united state.	0	bay city is a city in bay county, michigan, united state.	0	bay city is a city in bay county, michigan, united state.	0	bay city was a city in bay county, michigan, united state.	0	bay city is a city in bay county in the u.s. state of michigan.	0	bay city is a city in bay county, michigan, united state.	0
ent1: Georgia (U.S. state) ent2: Uvalda, Georgia	uvalda is a city in montgomery county , georgia , united state .	0	uvalda is a city in uvalda county, georgia, united state.	0	uvalda is a city in st. charles county, georgia, united state.	0	uvalda is a city in scott county, georgia, united state.	0	uvalda is a town in southeastern southeastern southeastern georgia, united state.	0	uvalda is a city in southeastern uvalda county, georgia, united state.	0	uvalda is a city in southeastern uvalda county, georgia, united state.	0	uvalda is a city in southeastern uvalda county, georgia, united state.	0
ent1: Norfolk County, Massachusetts ent2: Cohasset, Massachusetts	cohasset is a small town in norfolk county , massachusetts , united state .	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0	cohasset is a town in norfolk county, massachusetts, united state.	0
ent1: Xuanzang ent2: Woncheuk	kuiji and woncheuk were the two main disciple of xuanzang .	0	woncheuk is a town in xuanzang, taiwan.	0	woncheuk is a city in xuanzang, taiwan.	0	woncheuk was the son of xuanzang.	0	woncheuk was a buddhist pilgrim to xuanzang.	0	woncheuk was a disciple of xuanzang.	0	xuanzang was the son of woncheuk.	0	woncheuk was a chinese buddhist pilgrim to xuanzang.	0
ent1: Perry County, Missouri ent2: Altenburg, Missouri	altenburg is a city in perry county , missouri , united state .	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0	altenburg is a city in perry county, missouri, united state.	0
ent1: Black metal ent2: Soulside Journey	soulside journey is the first studio album by norwegian black metal band darkthrone .	0	soulside journey is the debut studio album by american black metal band slayer.	0	soulside journey is the debut studio album by american black metal band soulside journey.	0	soulside journey is the debut studio album by swedish black metal band darkthrone.	0	soulside journey is the debut studio album by swedish black metal band darkthrone.	0	soulside journey is the first studio album by swedish black metal band darkthrone.	0	soulside journey is the debut studio album by swedish black metal band darkthrone.	0	soulside journey is the debut studio album by swedish black metal band darkthrone.	0
ent1: Gelatin ent2: Collagen	gelatin is the denatured form of collagen .	0	gelatin is a precursor to collagen.	0	gelatin is a precursor to collagen.	0	gelatin is a major source of collagen.	0	gelatin is a precursor to collagen.	0	gelatin is a precursor to collagen.	0	gelatin is the primary source of collagen.	0	gelatin is a precursor to collagen.	0
ent1: Brighton Beach ent2: New York City Department of Education	brighton beach is served by the new york city department of education .	0	the new york city department of education operates the following public school in brighton beach :	0	the new york city department of education operates the following public school on brighton beach :	0	the new york city department of education operates the following public school in brighton beach :	0	the new york city department of education operates the brighton beach public school.	0	the new york city department of education operates the following public school in brighton beach :	0	the new york city department of education operates the following public school in brighton beach :	0	the new york city department of education operates the following public school in brighton beach :	0
ent1: East Riding of Yorkshire ent2: Kilpin	kilpin is a village and civil parish in the east riding of yorkshire , england .	0	kilpin is a village in the east riding of yorkshire, england.	0	kilpin is a village and civil parish in the east riding of yorkshire, england.	0	kilpin is a village in the east riding of yorkshire, england.	0	kilpin is a village in the east riding of yorkshire, england.	0	kilpin is a village and civil parish in the east riding of yorkshire, england.	0	kilpin is a village and civil parish in the east riding of yorkshire, england.	0	kilpin is a village and civil parish in the east riding of yorkshire, england.	0
ent1: Los Angeles County Sheriff's Department ent2: Palmdale, California	the los angeles county sheriff 's department ( lasd ) operates the palmdale station in palmdale .	0	the los angeles county sheriff's department operates the palmdale station in palmdale.	0	the los angeles county sheriff's department ( lasd ) operates the palmdale station in palmdale.	0	the los angeles county sheriff's department operates the palmdale station in palmdale.	0	the los angeles county sheriff's department ( lasd ) operates the palmdale station in palmdale.	0	the los angeles county sheriff's department ( lasd ) operates the palmdale station in palmdale.	0	the los angeles county sheriff's department ( lasd ) operates the palmdale station in palmdale.	0	the los angeles county sheriff's department ( lasd ) operates the palmdale station in palmdale.	0
ent1: Norway ent2: Rygge	rygge was a municipality in østfold county , norway .	0	rygge is a municipality in rogaland county, norway.	0	rygge is a former municipality in mre og romsdal county, norway.	0	rygge is a municipality in mre og romsdal county, norway.	0	rygge is a village in rygge municipality in mre og romsdal county, norway.	0	rygge is a village in rygge municipality in akershus, norway.	0	rygge is a village in rygge municipality in akershus, norway.	0	rygge is the largest city in norway.	0
ent1: Ford Mustang ent2: Robert Hight	robert hight will remain in the auto club of southern california ford mustang .	0	robert hight was the defending champion but lost in the quarterfinal to ford mustang.	0	robert hight was the original owner of the ford mustang.	0	robert hight is the current president of the ford mustang funny car team.	0	robert hight is the driver of the chevrolet camaro ss funny car, a ford mustang.	0	robert hight is the former owner of ford mustang.	0	robert hight is a former ford mustang driver.	0	robert hight drove a ford mustang funny car.	0
ent1: Kennedy Space Center ent2: Port Canaveral	port canaveral has played a role in support of nasa project out of nearby kennedy space center .	0	port canaveral is the location of the kennedy space center.	0	port canaveral is the location of the kennedy space center.	0	port canaveral is located at the kennedy space center.	0	the kennedy space center is located in port canaveral.	0	port canaveral is located at the kennedy space center.	0	port canaveral is located about west of the kennedy space center.	0	port canaveral is located at the kennedy space center.	0
ent1: Russia ent2: Mykola Azarov	simultaneously both yanukovych and former prime minister mykola azarov fled to russia .	0	mykola azarov was born in styria, russia.	0	mykola azarov was born in st. petersburg, russia.	0	mykola azarov was the first prime minister of russia.	0	mykola azarov was the first prime minister of russia.	0	mykola azarov was born in st. john, russia.	0	mykola azarov was born in st. john's, russia.	0	mykola azarov was born in st. johnsboro, russia.	0
ent1: Royal Navy ent2: Royal Navy Chaplaincy Service	the royal navy chaplaincy service provides chaplain to the royal navy .	0	the royal navy chaplaincy service is the chaplaincy of the royal navy.	0	the royal navy chaplaincy service is the chaplaincy service of the royal navy.	0	the royal navy chaplaincy service is the chaplaincy service of the royal navy.	0	the royal navy chaplaincy service is the chaplain service of the royal navy.	0	the royal navy chaplaincy service is the chaplaincy service of the royal navy.	0	the royal navy chaplaincy service is the chaplain service of the royal navy.	0	the royal navy chaplaincy service is the chaplaincy service of the royal navy.	0
ent1: James Cahill (snooker player) ent2: David Gilbert (snooker player)	world number 118 james cahill defeated world number 11 david gilbert 6–4 .	0	david gilbert defeated james cahill 6–4, 6–4	0	james cahill won in the final 6–2 against david gilbert.	0	david gilbert won in the final 6–2, 6–4 against james cahill.	0	james cahill defeated david gilbert 6–4, 6–4	0	james cahill defeated david gilbert 6–4, 6–4	0	david gilbert defeated james cahill 4–3.	0	david gilbert defeated james cahill 6–4, 6–3	0
ent1: This Woman (K. T. Oslin album) ent2: K. T. Oslin	this woman is the second studio album by american country music artist k. t. oslin .	0	this woman is the second studio album by swedish singer k. t. oslin.	0	this woman is the debut studio album by american country music artist k. t. oslin.	0	this woman is the third studio album by american country music artist k. t. oslin.	0	this woman is the third studio album by american country music artist k. t. oslin.	0	this woman is the third studio album by american country music artist k. t. oslin.	0	this woman is the fifth studio album by american country music artist k. t. oslin.	0	this woman is the third studio album by american country music artist k. t. oslin.	0
ent1: The Merchant of Venice ent2: Antonio (The Merchant of Venice)	antonio is the title character in shakespeare 's `` the merchant of venice '' .	0	antonio is a fictional character in the  the merchant of venice ''.	0	antonio is a character in the italian novel  the merchant of venice ''.	0	antonio is a fictional character in shakespeare's  the merchant of venice ''.	0	antonio is a fictional character in shakespeare's  the merchant of venice ''.	0	antonio is a fictional character in shakespeare's  the merchant of venice ''.	0	antonio is a fictional character in william shakespeare's  the merchant of venice ''.	0	antonio is a fictional character in william shakespeare's  the merchant of venice ''.	0
ent1: Charleville, Queensland ent2: Shire of Murweh	charleville is a town and a locality in the shire of murweh , queensland , australia .	0	charleville was a local government area in the shire of murweh, queensland, australia.	0	charleville is a locality in the shire of murweh, queensland, australia.	0	charleville is a rural locality in the shire of murweh, queensland, australia.	0	charleville is a town in the shire of murweh, queensland, australia.	0	charleville is a rural locality in the shire of murweh, queensland, australia.	0	charleville is a town and locality in the shire of murweh, queensland, australia.	0	charleville is a rural locality in the shire of murweh, queensland, australia.	0
ent1: Virginia ent2: Norwood, Nelson County, Virginia	norwood is an unincorporated community in nelson county , virginia , united state .	0	norwood is a town in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0	norwood is an unincorporated community in nelson county, virginia, united state.	0
ent1: Baseball card ent2: Donruss	donruss also produced the first spanish-only baseball card set .	0	donruss is a manufacturer of baseball card.	0	donruss is a baseball card manufacturer.	0	donruss is a manufacturer of baseball card and merchandise.	0	donruss is a manufacturer of baseball card.	0	donruss is a manufacturer of baseball card.	0	donruss is a manufacturer of baseball card.	0	donruss is a manufacturer of baseball card and other entertainment.	0
